method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1055,3.0,0.0,3.0,True,True,True,0.33794053805134483,0.04173753570441042,0.745,5.1000000000000005,2.1000000000000005,2.1000000000000005,0.0,0.38686615228652954,0.0,0.0,8.249693564721383e-06,0.010167498141527176,0.0001475450408179313,6.924118497408926e-05,-0.8035520911216736,-0.8197364807128906,0.37500709295272827
PD+FF,1056,3.0,0.0,3.0,True,True,True,0.27792016940608405,0.033799548217262235,0.77,4.6000000000000005,1.6000000000000005,1.6000000000000005,0.0,0.3132902681827545,0.0,0.0,5.943630640103947e-06,0.008749747648835182,0.00012761447578668594,5.948036050540395e-05,-0.6173267960548401,-0.7547652125358582,0.33817118406295776
PD+FF,1057,3.0,0.0,3.0,True,True,True,0.43635668159840524,0.055471427140475135,0.715,5.7,2.7,2.7,0.0,0.5141696333885193,0.0,0.0,1.1329720109642949e-05,0.012582065537571907,0.00020171543292235583,9.43007689784281e-05,-1.4013786315917969,-0.020997419953346252,0.2980625629425049
PD+FF,1058,3.0,0.0,3.0,True,True,True,0.6558837657307224,0.08690710178965226,0.6675,6.65,3.6500000000000004,3.6500000000000004,0.0,0.8054513931274414,0.0,0.0,1.5057858945510816e-05,0.014890632592141628,0.0003242169041186571,0.00015129866369534284,-1.9344123601913452,-0.6835842132568359,0.34246277809143066
PD+FF,1059,3.0,0.0,3.0,True,True,True,0.4285553702296696,0.054593743898422024,0.7175,5.65,2.6500000000000004,2.6500000000000004,0.0,0.5060221552848816,0.0,0.0,1.1081616321462207e-05,0.012188461609184742,0.0002090749330818653,9.724652773002163e-05,-1.3239208459854126,-0.34795770049095154,0.3298633396625519
PD+FF,1060,3.0,0.0,3.0,True,True,True,0.29117305794848203,0.03610130396993186,0.7625,4.75,1.75,1.75,0.0,0.33462274074554443,0.0,0.0,6.566031515831128e-06,0.00866315234452486,0.0001407265808666125,6.524972559418529e-05,-0.5232435464859009,-0.8263487219810486,0.4775193929672241
PD+FF,1061,3.0,0.0,3.0,True,True,True,0.33157500580675653,0.041484366967720766,0.7475,5.050000000000001,2.0500000000000007,2.0500000000000007,0.0,0.3845190107822418,0.0,0.0,7.038037438178435e-06,0.009985548444092274,0.00014822487719357014,6.950894749024883e-05,-1.0766786336898804,0.09924349933862686,0.28927016258239746
PD+FF,1062,3.0,0.0,3.0,True,True,True,0.38402391574630024,0.04907643158657891,0.7275,5.45,2.45,2.45,0.0,0.45487385988235474,0.0,0.0,9.545206012262497e-06,0.010929525829851627,0.0001836131705204025,8.545170567231253e-05,-1.020176649093628,-0.6513675451278687,0.4292861223220825
PD+FF,1063,3.0,0.0,3.0,True,True,True,0.23207503953830522,0.028053754609652877,0.79,4.2,1.2000000000000002,1.2000000000000002,0.0,0.2600324749946594,0.0,0.0,4.247417109581875e-06,0.007513337302953005,0.00010898220352828503,5.0532697059679776e-05,-0.5567145943641663,0.6067063212394714,0.2895512878894806
PD+FF,1064,3.0,0.0,3.0,True,True,True,0.49230937005134534,0.062271634328678376,0.7025,5.95,2.95,2.95,0.0,0.5771942734718323,0.0,0.0,1.4441817256738432e-05,0.01395441871136427,0.00023318857711274177,0.0001086960473912768,-1.6129041910171509,-0.13716638088226318,0.24278511106967926
