method,seed,position_noise_std,velocity_noise_std,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,final_error,final_relative_speed,stable_ratio,capture_time,settling_time,forward_overshoot,meaningful_ahead_ratio,command_smoothness,mean_command_change,max_command_change
PD+FF,1082,0.0,0.0,-0.9581221342086792,-0.30673766136169434,0.3117980659008026,True,0.30847403407096863,0.03852140158414841,0.00013312364171724766,6.27639310550876e-05,0.755,4.9,4.9,0.0,0.0,6.280664820224047e-06,0.0012455666437745094,0.009299513883888721
PD+FF,1083,0.0,0.0,-1.3940625190734863,0.6289385557174683,0.21643398702144623,True,0.4444563388824463,0.05496184527873993,0.00020306059741415083,9.446385956835002e-05,0.7175,5.65,5.65,0.0,0.0,1.3103777746437117e-05,0.0018078421708196402,0.013155719265341759
PD+FF,1084,0.0,0.0,-0.7371216416358948,-0.8951173424720764,0.4071005880832672,True,0.3408970534801483,0.04209991171956062,0.00016214975039474666,7.533330790465698e-05,0.745,5.1000000000000005,5.1000000000000005,0.0,0.0,8.508725841238629e-06,0.0014462436083704233,0.010180558077991009
PD+FF,1085,0.0,0.0,-0.7224554419517517,-0.08529454469680786,0.4138740301132202,True,0.24773134291172028,0.031737565994262695,0.0001205312364618294,5.611169399344362e-05,0.775,4.5,4.5,0.0,0.0,3.9918222682899795e-06,0.0009919918375089765,0.007403410039842129
PD+FF,1086,0.0,0.0,-0.7490203976631165,-0.7008727788925171,0.4387705326080322,True,0.31671342253685,0.03980909287929535,0.00013926900282967836,6.539145397255197e-05,0.7525,4.95,4.95,0.0,0.0,7.126707714633085e-06,0.0013361951569095254,0.009272490628063679
PD+FF,1087,0.0,0.0,-1.2718281745910645,-0.8616007566452026,0.3274095356464386,True,0.4593591094017029,0.05755477398633957,0.0002050886396318674,9.61863697739318e-05,0.7125,5.75,5.75,0.0,0.0,1.3800278793496545e-05,0.0018711313605308533,0.01319077517837286
PD+FF,1088,0.0,0.0,-1.148199200630188,-0.9221230149269104,0.4605681300163269,True,0.4635917842388153,0.05956573411822319,0.00021822054986841977,0.00010216540977125987,0.7075,5.8500000000000005,5.8500000000000005,0.0,0.0,1.2867847544839606e-05,0.0018383797723799944,0.012763573788106441
PD+FF,1089,0.0,0.0,-1.8535881042480469,0.5890284776687622,0.37915652990341187,True,0.6356735229492188,0.08534636348485947,0.0003050636441912502,0.00014305097283795476,0.67,6.6000000000000005,6.6000000000000005,0.0,0.0,1.3038928045716602e-05,0.0019239109242334962,0.01397843100130558
PD+FF,1090,0.0,0.0,-0.9845758080482483,-0.6573527455329895,0.30003631114959717,True,0.34752190113067627,0.042881857603788376,0.00015634199371561408,7.318266580114141e-05,0.7425,5.15,5.15,0.0,0.0,8.43202360556461e-06,0.0014439901569858193,0.010463055223226547
PD+FF,1091,0.0,0.0,-1.8845704793930054,-0.6914018392562866,0.36124923825263977,True,0.6462498903274536,0.08598387241363525,0.0003230402653571218,0.00015058780263643712,0.6675,6.65,6.65,0.0,0.0,1.437987248209538e-05,0.0020256105344742537,0.014707434922456741
